lon,lat,id,sex
-63.16653864,-47.43542414,3497,M
-63.23545708,-47.72606654,3497,M
-63.60600126,-48.31618575,3497,M
-64.1764035,-48.30332477,3497,M
-63.92251476,-48.10906308,3497,M
-64.0641527,-48.31448309,3497,M
-64.5072897,-48.05856718,3497,M
-64.24708765,-48.0351882,3497,M
-64.93660285,-48.18655801,3497,M
-65.42665236,-47.51882771,3497,M
-64.39681378,-47.73164019,3497,M
-66.34327506,-51.29803749,3497,M
-66.51336897,-54.04802258,3497,M
-61.2117237,-55.94790274,3497,M
-61.00444294,-56.32530109,3497,M
-64.2871879,-46.14436717,3499,M
-64.05323983,-46.4149757,3499,M
-63.42351252,-44.6963294,3499,M
-64.00589639,-44.73032536,3499,M
-63.93769875,-48.082231,3499,M
-62.61103973,-45.32160961,3499,M
-62.74412725,-45.43306709,3499,M
-63.99879441,-45.99633375,3499,M
-64.82381353,-46.19767144,3499,M
-61.4011869,-39.11024449,3499,M
-61.65383401,-45.39790192,3503,M
-61.6156914,-45.35905877,3503,M
-61.75290544,-45.23117137,3503,M
-61.92691107,-45.26088547,3503,M
-61.94538508,-45.51950014,3503,M
-61.97835992,-45.38943041,3503,M
-62.33553622,-45.51656783,3503,M
-62.61491972,-46.20164449,3503,M
-62.37938717,-45.96823414,3503,M
-62.33148703,-45.76205676,3503,M
-62.40373386,-45.77896311,3503,M
-62.66711104,-45.67796134,3503,M
-62.76599994,-46.41518189,3503,M
-62.94109363,-46.10769349,3503,M
-62.52167592,-46.35687005,3503,M
-62.89616144,-46.43000107,3503,M
-62.45336179,-46.12848124,3503,M
-62.55684111,-46.00787706,3503,M
-62.90701356,-45.92385553,3503,M
-62.80324514,-45.70580887,3503,M
-62.83358536,-46.26401116,3503,M
-63.00910523,-45.86787053,3503,M
-63.31325917,-46.39847148,3503,M
-63.24353436,-46.62430376,3503,M
-62.8563767,-45.73910219,3503,M
-63.93717831,-46.96114867,3503,M
-63.60217507,-46.88551122,3503,M
-64.12778933,-46.62324919,3503,M
-63.08929789,-45.91256205,3503,M
-63.86635436,-47.99677485,3503,M
-64.37545093,-47.91455533,3503,M
-64.75991276,-51.30063743,3503,M
-64.95653686,-52.43026006,3503,M
-66.54462491,-53.98361215,3503,M
-62.50753277,-56.23410112,3503,M
-60.86073251,-55.02810022,3503,M
-59.76857195,-56.1328025,3503,M
-62.85293992,-56.56519895,3503,M
-64.99855803,-53.32429513,3503,M
-66.18199839,-53.29239927,3503,M
-62.44872694,-42.73468671,3510,M
-62.75277541,-42.37720885,3510,M
-62.68880276,-42.53128559,3510,M
-62.60089087,-42.64136287,3510,M
-62.67009313,-42.5459581,3510,M
-62.04869916,-42.7311776,3510,M
-62.31534151,-42.56793873,3510,M
-62.55546247,-42.64305652,3510,M
-62.2190153,-42.80410872,3510,M
-62.13844982,-42.67981096,3510,M
-62.13254376,-44.06213533,3510,M
-64.59442806,-44.25059283,3510,M
-64.75769661,-45.32074375,3510,M
-64.15956414,-46.04778556,3510,M
-64.29829612,-46.05421898,3510,M
-64.4133072,-46.05280265,3510,M
-64.1894699,-46.16156114,3510,M
-64.27358467,-46.00175537,3510,M
-64.13071941,-46.38477738,3510,M
-64.07196701,-46.27020198,3510,M
-64.93746094,-46.6686044,3510,M
-65.68327067,-46.88808646,3510,M
-65.23416608,-46.84177144,3510,M
-65.20616026,-47.1482586,3510,M
-65.5173021,-47.42249908,3510,M
-65.36608474,-47.91136658,3510,M
-65.18333923,-47.85887824,3510,M
-65.51920971,-47.88198973,3510,M
-65.51708519,-47.73119281,3510,M
-65.13167244,-47.56243886,3510,M
-65.62843634,-47.83490936,3510,M
-65.51643488,-47.89739364,3510,M
-64.93143814,-45.96168298,3510,M
