lon,lat,month,id,sex
-66.95489447,-53.97590106,3,3482,F
-66.07697884,-53.95610855,3,3482,F
-65.94745554,-54.01239999,3,3482,F
-65.60210019,-54.14889933,3,3482,F
-65.76050239,-53.85300044,3,3482,F
-66.14029891,-53.86739995,3,3482,F
-65.98644563,-53.45209038,3,3482,F
-63.39504321,-51.58980827,3,3482,F
-63.57583769,-51.52959997,3,3482,F
-64.15051417,-51.41820598,3,3482,F
-64.73261034,-51.70179934,3,3482,F
-65.15246013,-51.81860084,3,3482,F
-66.08708298,-51.5789004,3,3482,F
-64.86906122,-51.94070006,3,3482,F
-65.28106029,-52.00209985,3,3482,F
-65.98945647,-51.83799979,3,3482,F
-66.06135417,-51.95089968,3,3482,F
-65.94729914,-51.69440823,3,3482,F
-65.73656695,-51.5581054,3,3482,F
-67.83424292,-52.88998175,4,3482,F
-67.69460284,-52.64730867,4,3482,F
-67.37742805,-52.76407878,4,3482,F
-67.02782532,-52.53040616,4,3482,F
-66.98298779,-52.52920784,4,3482,F
-66.83333917,-52.6178384,4,3482,F
-66.07759576,-52.93399471,4,3482,F
-66.77388456,-53.25000099,4,3482,F
-67.09611746,-52.96476089,4,3482,F
-67.00999041,-52.87910725,4,3482,F
-67.32133372,-53.0170931,4,3482,F
-66.57745717,-52.6617875,4,3482,F
-66.26181438,-53.0532797,4,3482,F
-68.23434784,-56.27314126,4,3482,F
-67.06812097,-55.57105958,5,3482,F
-66.87754441,-55.22194557,5,3482,F
-67.4720225,-55.32726371,5,3482,F
-67.38878199,-55.31182182,5,3482,F
-68.03158653,-55.29906836,5,3482,F
-67.83120472,-55.33012936,5,3482,F
-67.48373362,-55.30612525,5,3482,F
-68.01658224,-55.28423056,5,3482,F
-67.81260873,-55.28919558,5,3482,F
-67.18685527,-55.34486426,5,3482,F
-66.88440977,-55.39749348,5,3482,F
-67.18591076,-55.32947523,5,3482,F
-66.81186346,-55.06741676,5,3482,F
-67.02156493,-55.32548433,5,3482,F
-67.44672388,-55.30895946,5,3482,F
-67.36967234,-55.33958815,5,3482,F
-66.36567337,-55.69649088,5,3482,F
-66.18250159,-55.16838874,5,3482,F
-65.94683893,-54.87518042,5,3482,F
-66.49314574,-55.17418623,5,3482,F
-66.165634,-54.16282092,5,3482,F
-66.16286852,-55.09047636,5,3482,F
-65.22665555,-55.93594651,5,3482,F
-65.22815594,-56.16113475,5,3482,F
-64.94510853,-55.85636187,5,3482,F
-64.64094691,-55.83752362,5,3482,F
-65.30737767,-55.97330361,5,3482,F
-65.09340561,-56.12472859,5,3482,F
-64.82842248,-55.88929968,5,3482,F
-65.369089,-55.88833313,5,3482,F
-65.56192123,-56.11781955,5,3482,F
-65.64558085,-56.00212923,5,3482,F
-65.50328221,-55.76699857,5,3482,F
-66.36010626,-56.44238615,5,3482,F
-66.82707542,-56.33275286,5,3482,F
-66.38067,-56.18747563,5,3482,F
-66.81959392,-55.25850568,5,3482,F
-66.18591148,-54.17807774,5,3482,F
-65.37245795,-55.39310824,5,3482,F
-64.78900082,-55.17644955,5,3482,F
-62.54615287,-55.75561621,6,3482,F
-62.38735251,-55.77853225,6,3482,F
-62.07875932,-55.92985893,6,3482,F
-62.45815379,-55.83176605,6,3482,F
-62.95769556,-55.53663613,6,3482,F
-66.93759018,-53.55880285,6,3482,F
-66.75983829,-53.46529856,6,3482,F
-68.0882966,-53.3466439,6,3482,F
-63.26601594,-55.47931539,6,3482,F
-62.33524136,-55.34201262,6,3482,F
-62.4522048,-55.83030314,6,3482,F
-64.81514388,-56.1151571,7,3482,F
-64.90520752,-56.26413655,7,3482,F
-64.61518847,-52.57783999,8,3482,F
-67.11009471,-53.09600092,8,3482,F
-66.66262247,-52.98165835,8,3482,F
-66.90158809,-53.18823627,8,3482,F
-67.03022778,-53.14348008,8,3482,F
-66.81922123,-53.37482493,8,3482,F
-66.64859787,-53.09302639,8,3482,F
